,id,name,date,event_url,atendees,organizer,organizer_url
0,0,Colchester - Powered Up Business Networking - June 2025,"Mon, Jun 2, 2025, 3:30 PM - 5:30 PM (your local time)",https://www.eventbrite.co.uk/e/colchester-powered-up-business-networking-june-2025-tickets-1356985934459,59,Powered Up Business Networking,https://www.linkedin.com/company/pubnetworking/
1,1,Business Buzz BIG Buzz Hertfordshire In Person Networking June 2025,"Tue, Jun 3, 2025, 6:00 AM - 8:00 AM (your local time)",https://www.business-buzz.org/hertfordshire/big-buzz-hertfordshire/,91,,https://www.linkedin.com/company/business-buzz-hertfordshire/
2,2,VIETNAM LOGISTICS MANUFACTURING NETWORKING on Tuesday 3rd June 2025,"Tue, Jun 3, 2025, 8:00 AM - 10:00 AM (your local time)",https://forms.gle/mv5h2SLkhYyip7BD8,70,,https://www.linkedin.com/company/vietnam-logistics-manufacturing-networking/
3,3,Colchester - Powered Up Business Networking - June 2025,"Mon, Jun 2, 2025, 3:30 PM - 5:30 PM (your local time)",https://www.eventbrite.co.uk/e/colchester-powered-up-business-networking-june-2025-tickets-1356985934459,59,,https://www.linkedin.com/company/pubnetworking/
4,4,Business Buzz BIG Buzz Hertfordshire In Person Networking June 2025,"Tue, Jun 3, 2025, 6:00 AM - 8:00 AM (your local time)",https://www.business-buzz.org/hertfordshire/big-buzz-hertfordshire/,91,,https://www.linkedin.com/company/business-buzz-hertfordshire/
5,5,VIETNAM LOGISTICS MANUFACTURING NETWORKING on Tuesday 3rd June 2025,"Tue, Jun 3, 2025, 8:00 AM - 10:00 AM (your local time)",https://forms.gle/mv5h2SLkhYyip7BD8,70,,https://www.linkedin.com/company/vietnam-logistics-manufacturing-networking/
6,6,Canberra June Networking Drinks,"Wed, Jun 4, 2025, 4:30 AM - 8:30 AM (your local time)",https://www.linkedin.com/company/defence-industry-neworking/,135,,https://www.linkedin.com/company/defence-industry-neworking/
7,7,CONEXEN - Informal Networking in London - 4 June 2025,"Wed, Jun 4, 2025, 2:00 PM - 4:30 PM (your local time)",https://conexen.net/conexen-events/conexen-london-june/,52,,https://www.linkedin.com/company/conexen/
8,8,Unlocking Energy & Infra - Networking Event - June,"Wed, Jun 4, 2025, 2:00 PM - 5:00 PM (your local time)",https://www.eventbrite.co.uk/e/1325416549579?aff=oddtdtcreator,53,,https://www.linkedin.com/company/unlockingenergyandinfra/
9,9,FitTech Club: June power networking for fitness & health tech leaders,"Thu, Jun 5, 2025, 12:00 PM - 12:45 PM (your local time)",https://form.typeform.com/to/skGeEgwX,57,,https://www.linkedin.com/company/fittechclub/
10,10,"Biz Net Sparks — virtual global business networking — June 5, 2025","Thu, Jun 5, 2025, 2:00 PM - 3:00 PM (your local time)",https://us06web.zoom.us/meeting/register/yGfZLWgXQO69v3oDQTS6SQ,93,,https://www.linkedin.com/company/biz-net-sparks/
11,11,Milton Keynes - Powered Up Business Networking - June 2025,"Thu, Jun 5, 2025, 3:30 PM - 5:30 PM (your local time)",https://www.eventbrite.co.uk/e/milton-keynes-powered-up-business-networking-june-2025-tickets-1349674997249,100,,https://www.linkedin.com/company/pubnetworking/
12,12,Nottingham - Powered Up Business Networking - June 2025,"Mon, Jun 9, 2025, 3:30 PM - 5:30 PM (your local time)",https://www.eventbrite.co.uk/e/nottingham-powered-up-business-networking-june-2025-tickets-1335089431429,64,,https://www.linkedin.com/company/pubnetworking/
13,13,"June - Defence Industry Networking Event - Brisbane, Sponsored by AutogenAI","Thu, Jun 19, 2025, 5:00 AM - 8:00 AM (your local time)",https://www.linkedin.com/company/defence-industry-neworking/,75,,https://www.linkedin.com/company/defence-industry-neworking/
